pSTAT5,Foxp3,CD25,PD1,CD4,Position X,Position Y,Position Z
70.0117,342.643,66.4463,177.037,290.428,941.912,1429.95,0.917679
53.8228,481.167,54.9728,253.837,415.407,862.489,1512.14,9.95555
20.6535,276.227,21.5679,56.2894,148.073,933.393,1436.38,12.4022
80.415,449.938,105.609,178.691,422.749,880.272,1492.53,3.76236
62.1274,502.165,74.1822,130.851,253.244,462.36,1913.47,4.30016
70.4337,433.308,92.4748,92.835,268.287,768.872,1605.15,7.92897
49.5697,330.226,62.6554,164.765,235.642,623.329,1755.23,7.15653
30.3979,298.684,28.4128,67.106,192.903,649.925,1721.66,11.6196
86.5535,374.759,84.1343,99.1967,234.169,811.374,1562.78,6.41604
50.9412,384.365,38.1941,489.931,372.098,1018.2,1353.31,11.1094
64.3063,381.328,87.9662,160.652,428.386,865.83,1509.3,9.15278
34.4912,317.21,41.2445,130.996,264.805,832.832,1541.08,12.7615
55.1351,573.809,84.2648,120.874,438.303,901.299,1474.7,8.33719
85.2603,400.312,65.982,250.363,301.659,946.657,1431.92,1.31582
37.851,306.358,76.5196,57.8588,182.548,926.711,1449.15,8.56739
43.6427,338.72,54.0957,173.94,211.43,935.355,1441.51,6.99898
65.7139,360.047,113.588,134.181,322.822,675.323,1704.72,2.37698
30.2864,337.748,37.9914,161.829,270.699,692.616,1684.62,12.9684
104.734,197.983,229.945,83.3588,244.156,606.996,1779.08,6.51875
46.4274,681.503,129.99,161.609,279.126,777.006,1602.48,11.461
31.85,399.77,29.8747,324.819,251.148,679.892,1699.51,12.6938
52.2098,264.269,32.0914,63.0897,257.513,850.521,1527.5,12.2389
68.7432,449.27,63.4836,220.277,459.534,782.509,1598.45,6.8708
29.6658,221.383,33.4682,102.007,83.1811,562.681,1822,2.79565
50.2803,413.517,46.4641,153.436,312.735,774.342,1608.33,5.53872
70.1054,614.401,183.38,141.66,258.074,739.661,1645.07,2.76776
24.5701,432.303,32.5984,93.6148,144.213,452.678,1929.88,12.9514
28.5418,277.159,52.2224,72.5701,212.239,827.176,1554.38,12.5651
42.7654,264.287,78.3115,368.336,242.718,679.2,1703.75,8.36416
51.4234,545.565,43.3817,220.863,289.769,819.352,1565.57,7.46354
51.3549,489.514,65.5035,200.27,210.63,655.151,1729.8,5.45946
45.9835,386.107,66.7,79.7231,189.625,611.726,1735.63,5.20871
39.1531,380.248,73.1246,128.487,268.612,742.888,1605.5,9.01346
64.8155,494.517,89.4542,317.217,389.965,863.989,1488.14,3.64449
35.9078,405.219,41.93,73.0018,264.356,891.79,1453.54,12.1058
45.8763,434.585,283.476,92.5025,230.999,966.013,1384.19,6.51898
45.9615,344.037,39.3029,342.873,418.528,889.727,1458.75,11.2005
95.767,268.222,87.2832,137.839,361.394,670.402,1676.17,4.63506
24.7186,330.496,42.5405,52.664,204.162,928.43,1417.76,12.3899
52.7881,413.528,71.824,62.141,219.137,823.139,1526.36,5.47163
33.0616,304.713,30.6645,532.105,192.795,992.001,1355.52,12.1037
32.3609,364.336,45.6391,53.3673,183.502,628.777,1718.89,12.5889
73.437,271.397,50.5908,69.4035,245.166,785.5,1563.37,7.90526
